0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,4,4,18,4,10,10,10,10,10,13,10,10,10,10,10,10,3,3,3,10,10,10,10,10,10,10,42,42,42,42,42,42,42,42,42,42,42,42,48,48,48,48,48,48,52,48,48,48,48,65,65,65,65,65,65,65,35,65,65,65,65,65,65,65,65,65,65,48,48,48,48,65,65,65,65,65,65,65,65,65,65,65,65,72
0,0,0,3,0,6,4,8,8,8,8,8,8,8,8,8,8,8,8,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,47,47,47,47,47,47,47,47,47,47,47,47,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
0,0,0,3,0,6,4,8,8,8,8,8,8,8,8,8,8,8,8,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,47,47,47,47,47,47,47,47,47,47,47,47,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
0,0,3,3,4,4,6,8,8,8,8,8,8,8,8,8,8,8,8,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,47,47,47,47,47,47,47,47,7,47,47,47,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
1,1,1,4,5,5,7,7,7,7,7,7,7,7,15,15,15,15,15,14,14,14,23,23,23,23,23,23,23,23,23,23,13,23,23,23,23,23,23,23,23,23,23,23,23,23,41,41,23,36,23,23,23,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,38,8,8,8,8,37,8,8,8,8,8,8,8,8,8,88,88,88,88,88,88,88,88,88,88,88,88
1,1,1,4,5,5,7,7,7,7,7,7,7,6,15,15,15,15,15,14,14,14,23,23,4,23,20,23,4,23,23,23,13,23,23,23,23,23,23,23,23,23,23,23,23,23,23,20,23,36,23,23,23,24,24,24,24,3,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,37,3,24,24,24,24,24,38,24,24,88,88,88,88,88,88,88,88,88,88,88,88
1,1,1,4,5,5,7,7,7,7,7,7,7,6,15,15,15,15,15,14,14,14,23,23,4,23,20,23,4,23,23,23,13,23,23,23,23,23,23,23,23,23,23,23,23,23,23,20,23,36,23,23,23,24,24,24,24,3,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,37,3,24,24,24,24,24,38,24,24,88,88,88,88,88,88,88,88,88,88,88,88
1,1,1,4,4,5,6,6,6,6,6,6,6,6,15,15,15,15,15,14,14,14,23,23,23,23,23,23,23,23,23,23,13,23,23,23,23,23,20,23,23,23,23,23,23,23,23,23,23,23,23,20,23,8,8,8,8,3,8,8,27,8,8,8,8,8,8,50,8,60,50,40,38,62,8,50,50,37,62,40,62,8,8,8,8,8,8,88,88,88,88,88,38,88,88,88,88,88,62
1,1,1,1,5,6,4,4,4,4,4,4,4,4,4,4,4,18,4,17,17,17,17,10,13,10,10,10,10,10,3,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,42,42,42,42,42,42,42,42,42,42,42,65,40,65,65,65,3,65,65,65,65,13,3,17,27,65,72,65,65,65,65,65,65,35,35,35,65,65,65,65,65,65,65,65,65,65
1,1,3,3,3,3,3,3,3,10,11,11,11,11,11,11,11,11,11,7,7,7,7,7,7,7,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,52,20,20,20,60,20,20,20,20,20,20,20,20,36,20,20,20,20,60,20,20,80,80,80,80,80,80,80,87,87,87,87,87,87,87,87,87,87,87,87,87
0,1,3,3,4,4,3,8,8,8,3,3,3,14,3,3,17,17,19,11,11,11,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,54,54,18,18,18,18,18,18,18,18,18,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,83,83,67,86,83,86,86,86,83,86,86,86,83,86,86,86,86
1,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,13,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,20,12,12,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,37,19,19,19,19,19,19,19,19,3,19,19,19,19,19,37,19,19,19,19,19,19,53,53,19,19,19
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,20,12,12,12,19,19,19,19,19,19,19,19,19,29,19,19,19,19,19,19,19,19,19,37,19,19,19,19,19,19,19,19,3,19,19,19,19,19,37,37,19,19,19,19,19,53,53,19,19,19
1,1,1,4,4,4,6,6,6,6,6,6,6,14,6,6,6,6,6,18,18,18,18,17,18,17,17,17,18,18,17,17,18,18,17,17,17,17,17,18,18,18,18,18,18,46,46,46,18,18,18,18,52,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,50,13,13,50,50,50,50,50,50,50,50,50,77,74,82,82,82,77,60,42,3,82,82,82,82,77,82,50,82,3
