Clustering_Method,Cluster,Sample_Count,Age_Mean,Age_Median,Age_Std,TB_Mean,TB_Median,TB_Std,DB_Mean,DB_Median,DB_Std,Alkphos_Mean,Alkphos_Median,Alkphos_Std,Sgpt_Mean,Sgpt_Median,Sgpt_Std,Sgot_Mean,Sgot_Median,Sgot_Std,TP_Mean,TP_Median,TP_Std,ALB_Mean,ALB_Median,ALB_Std,A/G Ratio_Mean,A/G Ratio_Median,A/G Ratio_Std,Label_Mean,Label_Median,Label_Std,Gender_Male_Proportion,Gender_Male_Count,Gender_Female_Proportion,Gender_Female_Count
Clusters_HDBScan_MinClusters5,-1,132,45.61363636363637,46.0,15.423610198699125,9.05378787878788,5.8,10.533577031779474,4.328030303030303,2.75,4.453222769775015,510.52272727272725,337.0,408.46143017125047,232.70454545454547,118.5,341.16761206358063,327.8939393939394,148.5,551.9061384074683,6.451515151515152,6.6,1.1174866051751038,2.9393939393939394,3.0,0.7783087532482441,0.8790151515151515,0.8,0.402199790557385,1.053030303030303,1.0,0.22494762543583438,0.8106060606060606,107.0,0.1893939393939394,25.0
Clusters_HDBScan_MinClusters5,0,8,43.625,44.0,9.101608962940878,15.5125,15.4,2.023036967390505,7.7625,8.0,1.1287635460348386,306.625,267.0,104.02326319489447,53.0,53.0,10.071175275436895,124.25,89.5,59.51170353084221,5.75,5.65,0.8194074514114279,2.1875,2.1500000000000004,0.26423744732991306,0.5875,0.55,0.13562026818605374,1.0,1.0,0.0,0.875,7.0,0.125,1.0
Clusters_HDBScan_MinClusters5,1,434,44.54838709677419,45.0,16.6253016691773,1.2870967741935484,0.9,0.9637155554967602,0.48571428571428577,0.2,0.5391196068697394,224.50921658986175,195.0,96.99696982402621,35.965437788018434,29.0,22.291605187090877,44.285714285714285,33.0,33.37243719748626,6.514516129032257,6.6,1.076366469598302,3.2267281105990784,3.2,0.7814387658947265,0.9774654377880183,1.0,0.28489782610615993,1.3640552995391706,1.0,0.48171954954888163,0.7396313364055299,321.0,0.26036866359447003,113.0
Clusters_HDBScan_MinClusters5,2,5,45.0,42.0,11.704699910719626,8.36,8.7,0.6767569726275451,4.180000000000001,4.3,0.38340579025361626,284.4,282.0,13.069047402163632,44.4,50.0,12.581732790041283,86.8,72.0,33.176799122278204,5.6,5.8,0.5656854249492381,2.2600000000000002,2.0,0.4560701700396552,0.6799999999999999,0.7,0.20493901531919195,1.0,1.0,0.0,0.8,4.0,0.2,1.0
Clusters_HDBScan_MinClusters6,-1,91,44.94505494505494,46.0,14.600884780924629,11.583516483516485,7.3,11.752477410092107,5.542857142857144,3.9,4.841651299049457,543.2967032967033,315.0,462.82678532171536,292.13186813186815,140.0,395.80674882773593,422.5054945054945,236.0,641.1903058397003,6.418681318681319,6.6,1.0853480842478436,2.8824175824175833,2.8,0.7441017562722344,0.8745054945054946,0.8,0.42889072355001195,1.021978021978022,1.0,0.14742395237484895,0.7912087912087912,72.0,0.2087912087912088,19.0
Clusters_HDBScan_MinClusters6,0,482,44.74688796680498,45.0,16.59616469557973,1.5927385892116181,0.9,1.651625914126004,0.6481327800829875,0.2,0.8835330225155227,244.18464730290455,198.0,130.0898023938909,41.59751037344398,31.0,31.813839906388058,51.155601659751035,35.0,45.07672668597946,6.501452282157676,6.6,1.0878357687998845,3.1987551867219914,3.2,0.7915342783142312,0.9654979253112034,1.0,0.2915894163538424,1.338174273858921,1.0,0.4735797091042343,0.7489626556016598,361.0,0.25103734439834025,121.0
Clusters_HDBScan_MinClusters6,1,6,45.166666666666664,44.0,9.217736526212207,16.3,16.1,1.5205262246998563,8.050000000000002,8.5,1.0310189135025605,260.6666666666667,242.0,54.97878378671782,56.333333333333336,57.0,8.86942313043338,137.5,132.5,63.97733973837924,5.849999999999999,5.65,0.6024948132556829,2.1833333333333336,2.1500000000000004,0.2857738033247041,0.5666666666666665,0.55,0.12110601416389963,1.0,1.0,0.0,1.0,6.0,,
Clusters_Spectral_k2,0,439,45.29384965831435,45.0,16.277494716111985,3.6248291571753986,1.2,6.571274030157461,1.6517084282460137,0.4,2.918198378761374,287.33029612756263,215.0,221.91156403749014,89.53302961275627,38.0,202.85255273998712,123.40318906605923,46.0,323.91609783599085,6.423462414578587,6.4,1.0625724118540938,3.0956719817767655,3.0,0.7785095477273767,0.9464464692482916,0.96,0.32931316545304057,1.2642369020501139,1.0,0.4414290806539617,1.0,439.0,,
Clusters_Spectral_k2,1,140,43.17857142857143,45.0,15.997422390008886,2.3449999999999998,0.8,4.894562024335982,1.0,0.2,2.4140476174426584,304.02142857142854,195.0,302.1454094610345,54.76428571428571,26.0,94.59079690539855,69.68571428571428,30.0,128.56603071916706,6.664285714285715,6.8,1.1357545223534216,3.272857142857143,3.3,0.8310384296356856,0.9490000000000001,0.9,0.2880829716612058,1.35,1.0,0.4786822439233379,,,1.0,140.0
Clusters_Spectral_k4,0,168,35.625,35.5,13.636288105397787,1.4470238095238095,0.9,1.2256209764331,0.5833333333333334,0.3,0.688108286516051,237.60119047619048,202.0,104.1851265650557,75.0952380952381,36.5,160.0186455488743,86.22619047619048,40.0,157.36340726065276,7.201785714285713,7.1,0.6940701110666944,3.8232142857142852,3.9,0.45740392326285656,1.1298809523809523,1.1,0.22422718402142358,1.3571428571428572,1.0,0.4805898856117,1.0,168.0,,
Clusters_Spectral_k4,1,132,43.53787878787879,44.5,15.864120207875642,1.262878787878788,0.8,1.421986853367381,0.4636363636363637,0.2,0.7392251696824313,277.70454545454544,192.5,267.0634695593432,45.88636363636363,25.0,64.39378469453871,55.583333333333336,29.0,87.5303255337298,6.66439393939394,6.8,1.140117348704926,3.296969696969697,3.3,0.8350105721266445,0.9616666666666667,0.935,0.28733619074873756,1.371212121212121,1.0,0.4849695517364947,,,1.0,132.0
Clusters_Spectral_k4,2,75,41.693333333333335,42.0,13.837838189752247,15.098666666666665,14.2,11.206555674697292,7.281333333333333,7.2,4.289606966602876,450.37333333333333,298.0,375.043628933493,219.93333333333334,67.0,362.3686093041297,362.2266666666667,138.0,688.6155631946419,6.276,6.2,1.0258602191279225,2.5839999999999996,2.6,0.5925300767825139,0.7674666666666667,0.7,0.4395024623530731,1.0533333333333332,1.0,0.2262104576963036,0.8933333333333333,67.0,0.10666666666666667,8.0
Clusters_Spectral_k4,3,204,54.26470588235294,57.0,14.13441906751469,1.8499999999999999,1.05,1.7394438837256412,0.7833333333333332,0.3,0.9371462112960119,286.02450980392155,210.0,225.37676039328963,57.86274509803921,33.0,124.24031529715577,73.23529411764706,40.0,117.38981220392455,5.846078431372549,5.9,0.9265297901019134,2.6759803921568626,2.7,0.5604023181914295,0.8530882352941177,0.8,0.2778041484311212,1.2549019607843137,1.0,0.43687818887799684,1.0,204.0,,
Clusters_Spectral_k6,0,130,43.06153846153846,42.5,15.95864512431853,1.2100000000000002,0.8,1.2375175200388482,0.4376923076923077,0.2,0.6611319145734091,265.9384615384615,192.0,248.1398316043245,46.57692307692308,25.0,65.5695222952329,56.207692307692305,28.5,89.46955622309359,6.693076923076922,6.8,1.1227173888037194,3.3253846153846154,3.3,0.8134824687067704,0.9703076923076924,0.975,0.2822252068512488,1.376923076923077,1.0,0.4864901126393891,,,1.0,130.0
Clusters_Spectral_k6,1,121,32.70247933884298,33.0,12.161856100186883,1.4322314049586777,0.9,1.052078488519516,0.6388429752066116,0.3,0.8518970889360645,266.93388429752065,209.0,203.72030399288423,65.77685950413223,36.0,91.29352729915611,81.83471074380165,41.0,122.52505506408598,7.44380165289256,7.3,0.6030329678637633,3.877685950413223,4.0,0.47618056857068153,1.0834710743801654,1.0,0.23151929632970716,1.3471074380165289,1.0,0.4780297027321785,1.0,121.0,,
Clusters_Spectral_k6,2,56,44.625,45.0,13.79665638017876,18.498214285714287,16.65,10.96575646889283,8.8125,8.5,3.815759783748543,426.14285714285717,298.0,334.1870694724699,275.60714285714283,66.0,443.21432035329565,433.875,160.5,790.3403654007672,6.533928571428571,6.6,0.9748243264980965,2.7303571428571423,2.6500000000000004,0.6036012057512936,0.8157142857142857,0.7,0.49647432284736864,1.0,1.0,0.0,0.8571428571428571,48.0,0.14285714285714285,8.0
Clusters_Spectral_k6,3,112,59.294642857142854,60.0,9.325580814563645,1.6901785714285715,1.0,1.664302457646347,0.6928571428571428,0.3,0.9045146312507709,222.97321428571428,193.0,107.83457967349376,51.294642857142854,31.5,63.8614263295479,65.15178571428571,35.0,106.45687785967303,6.353571428571429,6.35,0.6442998254867567,3.3026785714285714,3.2,0.4820115174558621,1.0913392857142858,1.0,0.26237822756201457,1.3214285714285714,1.0,0.4691238856391988,1.0,112.0,,
Clusters_Spectral_k6,4,85,33.411764705882355,35.0,9.37739698582138,1.6364705882352941,0.9,1.6843005513681144,0.6458823529411766,0.2,0.8301682189223359,229.51764705882354,198.0,118.17557677785504,92.48235294117647,37.0,217.78465837374588,106.38823529411765,42.0,193.0617403170025,5.487058823529411,5.6,0.723053748132928,2.6470588235294112,2.6,0.5046423144626483,0.925529411764706,0.9,0.23834002262850157,1.3411764705882352,1.0,0.47691821142849733,1.0,85.0,,
Clusters_Spectral_k6,5,75,58.586666666666666,60.0,9.777377824197913,2.996,2.2,2.520748494589052,1.3986666666666665,1.1,1.3021285415575294,446.4533333333333,282.0,347.4305800126522,52.24,40.0,41.04112637409035,81.12,59.0,68.41308551929426,5.842666666666666,5.8,1.1446908390989756,2.2386666666666666,2.1,0.5293783537711392,0.5937333333333333,0.6,0.13444353113133806,1.12,1.0,0.3271498540837624,0.9733333333333334,73.0,0.02666666666666667,2.0
